Instance,Pred_class,class,Matches,variance,skewness,curtosis,entropy,Mixnew,Stress,x,y
1,0,0,Match,3.6216,8.6661,-2.8073,-0.44699,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
2,0,0,Match,4.5459,8.1674,-2.4586,-1.4621,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
3,0,0,Match,3.866,-2.6383,1.9242,0.10645,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
4,0,0,Match,3.4566,9.5228,-4.0112,-3.5944,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
5,0,0,Match,0.32924,-4.4552,4.5718,-0.9888,"R7,R21,R35,R50,R60,R84,R99,R108,R129,R152,R163,R180",0.343345054,0.578493915,0.350422345
6,0,0,Match,4.3684,9.6718,-3.9606,-3.1625,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
7,0,0,Match,3.5912,3.0129,0.72888,0.56421,"R17,R22,R40,R53,R74,R90,R99,R114,R138,R155,R171,R194",0.187956723,-0.021991123,0.561365234
8,0,0,Match,2.0922,-6.81,8.4636,-0.60216,"R15,R22,R40,R53,R74,R90,R97,R112,R138,R155,R171,R194",0.216689494,0.066873198,0.597041474
9,0,0,Match,3.2032,5.7588,-0.75345,-0.61251,"R17,R26,R41,R55,R74,R90,R102,R117,R138,R157,R176,R194",0.134906226,-0.389295692,0.304699304
10,0,0,Match,1.5356,9.1772,-2.2718,-0.73535,"R13,R26,R41,R55,R67,R83,R102,R117,R138,R157,R176,R189",0.234932655,-0.583279921,0.113033122
11,0,0,Match,1.2247,8.7779,-2.2135,-0.80647,"R13,R26,R41,R55,R69,R84,R102,R117,R138,R157,R176,R189",0.240672662,-0.517543617,0.083570899
12,0,0,Match,3.9899,-2.7066,2.3946,0.86291,"R17,R22,R40,R53,R74,R90,R99,R112,R138,R155,R171,R194",0.185476423,0.006392658,0.562379192
13,0,0,Match,1.8993,7.6625,0.15394,-3.1108,"R15,R26,R44,R55,R74,R90,R102,R117,R138,R157,R176,R193",0.223412945,-0.430480133,0.364989673
14,0,0,Match,-1.5768,10.843,2.5462,-2.9362,"R9,R26,R46,R55,R65,R81,R102,R119,R127,R147,R176,R185",0.260485636,-0.587336418,-0.198818828
15,0,0,Match,3.404,8.7261,-2.9915,-0.57242,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
16,0,0,Match,4.6765,-3.3895,3.4896,1.4771,"R17,R22,R40,R53,R74,R90,R99,R112,R139,R155,R171,R194",0.208307798,0.014769118,0.601897306
17,0,0,Match,2.6719,3.0646,0.37158,0.58619,"R17,R22,R40,R53,R74,R90,R99,R114,R138,R155,R171,R194",0.187956723,-0.021991123,0.561365234
18,0,0,Match,0.80355,2.8473,4.3439,0.6017,"R11,R21,R35,R50,R70,R84,R99,R108,R138,R155,R164,R188",0.297511769,0.440093833,0.404796881
19,0,0,Match,1.4479,-4.8794,8.3428,-2.1086,"R11,R20,R38,R53,R69,R84,R99,R109,R138,R155,R166,R188",0.287812204,0.393565196,0.519050123
20,0,0,Match,5.2423,11.0272,-4.353,-4.1013,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R151,R176,R194",0.202415216,-0.5165884,0.282287554
21,0,0,Match,5.7867,7.8902,-2.6196,-0.48708,"R17,R26,R41,R55,R74,R90,R102,R117,R137,R157,R176,R194",0.162643608,-0.439784769,0.289758056
22,0,0,Match,0.3292,-4.4552,4.5718,-0.9888,"R7,R21,R35,R50,R60,R84,R99,R108,R129,R152,R163,R180",0.343345054,0.578493915,0.350422345
23,0,0,Match,3.9362,10.1622,-3.8235,-4.0172,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R157,R176,R194",0.184996077,-0.489419905,0.262475345
24,0,0,Match,0.93584,8.8855,-1.6831,-1.6599,"R13,R26,R41,R55,R69,R84,R102,R117,R138,R157,R176,R189",0.240672662,-0.517543617,0.083570899
25,0,0,Match,4.4338,9.887,-4.6795,-3.7483,"R17,R19,R41,R55,R74,R88,R102,R117,R134,R149,R176,R194",0.236511351,-0.525671088,0.362171007
26,0,0,Match,0.7057,-5.4981,8.3368,-2.8715,"R11,R20,R35,R50,R69,R84,R97,R106,R129,R155,R162,R186",0.350444714,0.560712427,0.439498302
27,0,0,Match,1.1432,-3.7413,5.5777,-0.63578,"R11,R21,R38,R50,R69,R84,R99,R109,R138,R155,R163,R188",0.299767437,0.42066036,0.414487609
28,0,0,Match,-0.38214,8.3909,2.1624,-3.7405,"R9,R26,R46,R55,R65,R81,R102,R119,R131,R154,R176,R185",0.25950768,-0.619923123,-0.163043841
29,0,0,Match,6.5633,9.8187,-4.4113,-3.2258,"R17,R26,R41,R55,R74,R88,R102,R117,R137,R151,R176,R194",0.202415216,-0.5165884,0.282287554
