x,y,Rules,class,coverage
-10.7698698,33.28292465,1,0,1
7.766445637,23.43411827,2,1,0.514285714
-17.08433151,-0.15382129,3,1,0.085714286
-16.94712067,0.058116034,4,1,0.057142857
-31.31125641,-6.306994915,5,2,0.028571429
6.983465672,6.494206905,6,1,0.028571429
6.791844845,-37.3732605,7,1,0.028571429
-22.7361927,2.487716198,8,2,0.028571429
-28.87475204,12.49253654,9,2,0.142857143
-10.89157295,-2.627913237,10,1,0.257142857
-11.7922287,-17.97562218,11,1,0.028571429
-19.68795586,0.939147353,12,2,0.057142857
46.59492874,0.547607303,13,2,0.742857143
-12.16190052,32.44395447,14,0,1
13.49926949,29.75117493,15,1,0.914285714
-31.28646088,-5.714524269,16,2,0.028571429
-12.31942081,-17.75093079,17,1,0.028571429
12.26878357,6.618953228,18,1,0.028571429
18.5341568,-13.81657124,19,2,0.057142857
30.04528999,27.95279884,20,2,0.057142857
3.657856703,-39.24631882,21,1,0.028571429
32.13861084,8.43525219,22,2,0.857142857
-17.1259594,0.293791056,23,0,0.028571429
-18.16526985,-5.319288254,24,1,0.057142857
-15.58605003,40.09833145,25,0,0.857142857
-17.36867714,-0.353794932,26,1,0.028571429
-12.43946743,8.43896389,27,0,0.114285714
7.261313438,23.82770157,28,1,0.6
-26.97881126,-3.995238066,29,2,0.028571429
7.247042179,6.674740791,30,1,0.028571429
-28.12170601,10.09339142,31,2,0.2
6.790968895,-37.37410736,32,1,0.028571429
-11.80071163,-2.95828867,33,1,0.257142857
-18.71271896,0.668922126,34,2,0.028571429
46.52993011,0.495313525,35,2,0.742857143
-11.54825211,33.53521729,36,0,1
-16.64838219,-0.899331033,37,1,0.028571429
-31.42627525,-6.882435322,38,2,0.028571429
7.463161469,22.97754478,39,1,0.685714286
-11.80060196,-2.958390713,40,1,0.257142857
11.96448517,-10.83656693,41,2,0.028571429
23.64298248,-15.29301453,42,2,0.028571429
29.89660835,28.13773537,43,2,0.057142857
1.511225343,-38.87401581,44,1,0.028571429
32.07629395,8.058749199,45,2,0.857142857
