x,y,class,coverage,certainty,Pie,Rule
166.6745605,-47.69485092,setosa,1,1,"100,0,0",1
56.46639252,116.7940292,versicolor,0.514285714,1,"0,100,0",2
-7.776702881,-7.150415421,versicolor,0.085714286,1,"0,100,0",3
-101.8768921,45.16292953,versicolor,0.085714286,0.75,"0,75,25",4
-47.13911057,125.8128815,versicolor,0.028571429,1,"0,100,0",5
44.13833237,10.78275871,virginica,0.028571429,1,"0,0,100",6
50.72034073,-70.46387482,virginica,0.142857143,1,"0,0,100",7
-34.79885101,47.94968796,versicolor,0.057142857,1,"0,100,0",8
-125.9715805,-61.3073616,versicolor,0.2,1,"0,100,0",9
-10.47444534,-111.6793137,virginica,0.514285714,0.947368421,"0,5.26315789473684,94.7368421052632",10
-32.97986221,-80.58930969,virginica,0.285714286,1,"0,0,100",11
166.7673798,-30.2980957,setosa,1,1,"100,0,0",12
65.92057037,145.3677826,versicolor,0.914285714,1,"0,100,0",13
-131.6644745,63.10865402,virginica,0.028571429,1,"0,0,100",14
-56.9121666,-36.63176727,versicolor,0.028571429,1,"0,100,0",15
-86.66338348,16.24486351,virginica,0.057142857,0.666666667,"0,33.3333333333333,66.6666666666667",16
-72.68505096,138.993927,versicolor,0.028571429,1,"0,100,0",17
59.28202057,0.483313948,virginica,0.057142857,1,"0,0,100",18
-23.60734177,-125.6814423,virginica,0.857142857,1,"0,0,100",19
-31.63234711,5.041081429,setosa,0.028571429,1,"100,0,0",20
-3.981497765,41.96573639,versicolor,0.057142857,1,"0,100,0",21
182.2636719,-20.66150856,setosa,0.857142857,1,"100,0,0",22
-0.663390875,4.539144516,versicolor,0.028571429,1,"0,100,0",23
-19.28992653,20.71972847,setosa,0.114285714,1,"100,0,0",24
73.68891907,111.1420212,versicolor,0.6,1,"0,100,0",25
-120.591095,35.02148056,versicolor,0.028571429,0.5,"0,50,50",26
55.24496841,-54.0035553,virginica,0.2,1,"0,0,100",27
-65.01789856,120.6479111,versicolor,0.028571429,1,"0,100,0",28
-130.146637,-46.89445114,versicolor,0.228571429,1,"0,100,0",29
-71.12730408,-37.81567001,versicolor,0.028571429,1,"0,100,0",30
-40.36863327,22.56766891,virginica,0.028571429,1,"0,0,100",31
-30.79852295,-106.1434021,virginica,0.742857143,1,"0,0,100",32
183.5723267,-54.18062973,setosa,1,1,"100,0,0",33
-20.4953804,48.57033539,versicolor,0.028571429,1,"0,100,0",34
-119.4118347,69.0850296,virginica,0.028571429,1,"0,0,100",35
73.50484467,128.3073425,versicolor,0.685714286,1,"0,100,0",36
-112.8335724,-48.52319717,versicolor,0.257142857,0.9,"0,90,10",37
-68.18288422,8.832212448,virginica,0.028571429,1,"0,0,100",38
61.98699951,14.62248611,virginica,0.057142857,1,"0,0,100",39
-54.79323196,144.2924042,versicolor,0.028571429,1,"0,100,0",40
-42.71221542,-120.5733414,virginica,0.857142857,1,"0,0,100",41
188.0039825,-37.38618851,setosa,1,1,"100,0,0",42
51.8696022,135.8455048,versicolor,0.914285714,1,"0,100,0",43
-109.5425568,26.31303215,versicolor,0.028571429,0.5,"0,50,50",44
39.70293808,-58.53124237,virginica,0.171428571,1,"0,0,100",45
-67.57978821,155.1382751,versicolor,0.028571429,1,"0,100,0",46
-75.49700928,-20.12697029,virginica,0.057142857,1,"0,0,100",47
-40.85750961,-27.4922657,versicolor,0.028571429,1,"0,100,0",48
-35.77481079,-137.3439484,virginica,0.742857143,1,"0,0,100",49
-112.6524721,-118.331946,,,,,
-112.6524721,-99.31994365,,,,,
-112.6524721,-80.30794129,,,,,
-112.6524721,-23.27193422,,,,,
-112.6524721,-4.259931857,,,,,
-112.6524721,90.80007993,,,,,
-112.6524721,109.8120823,,,,,
-112.6524721,128.8240847,,,,,
-112.6524721,147.836087,,,,,
-93.64046977,-118.331946,,,,,
-93.64046977,-99.31994365,,,,,
-93.64046977,-80.30794129,,,,,
-93.64046977,-61.29593893,,,,,
-93.64046977,-42.28393657,,,,,
-93.64046977,-4.259931857,,,,,
-93.64046977,71.78807758,,,,,
-93.64046977,90.80007993,,,,,
-93.64046977,109.8120823,,,,,
-93.64046977,128.8240847,,,,,
-93.64046977,147.836087,,,,,
-74.62846741,-118.331946,,,,,
-74.62846741,-99.31994365,,,,,
-74.62846741,-80.30794129,,,,,
-74.62846741,-61.29593893,,,,,
-74.62846741,33.76407286,,,,,
-74.62846741,52.77607522,,,,,
-74.62846741,71.78807758,,,,,
-74.62846741,90.80007993,,,,,
-55.61646505,-99.31994365,,,,,
-55.61646505,-80.30794129,,,,,
-55.61646505,-61.29593893,,,,,
-55.61646505,52.77607522,,,,,
-55.61646505,71.78807758,,,,,
-55.61646505,90.80007993,,,,,
-36.6044627,-61.29593893,,,,,
-36.6044627,71.78807758,,,,,
-36.6044627,90.80007993,,,,,
-36.6044627,109.8120823,,,,,
-17.59246034,-61.29593893,,,,,
-17.59246034,-42.28393657,,,,,
-17.59246034,71.78807758,,,,,
-17.59246034,90.80007993,,,,,
-17.59246034,109.8120823,,,,,
-17.59246034,128.8240847,,,,,
-17.59246034,147.836087,,,,,
1.41954202,-80.30794129,,,,,
1.41954202,-61.29593893,,,,,
1.41954202,-42.28393657,,,,,
1.41954202,71.78807758,,,,,
1.41954202,90.80007993,,,,,
1.41954202,109.8120823,,,,,
1.41954202,128.8240847,,,,,
1.41954202,147.836087,,,,,
20.43154438,-118.331946,,,,,
20.43154438,-99.31994365,,,,,
20.43154438,-80.30794129,,,,,
20.43154438,-61.29593893,,,,,
20.43154438,-42.28393657,,,,,
20.43154438,-23.27193422,,,,,
20.43154438,-4.259931857,,,,,
20.43154438,14.7520705,,,,,
20.43154438,33.76407286,,,,,
20.43154438,52.77607522,,,,,
20.43154438,71.78807758,,,,,
20.43154438,90.80007993,,,,,
20.43154438,109.8120823,,,,,
20.43154438,128.8240847,,,,,
20.43154438,147.836087,,,,,
39.44354674,-118.331946,,,,,
39.44354674,-99.31994365,,,,,
39.44354674,-23.27193422,,,,,
39.44354674,33.76407286,,,,,
39.44354674,52.77607522,,,,,
39.44354674,71.78807758,,,,,
39.44354674,90.80007993,,,,,
58.45554909,-118.331946,,,,,
58.45554909,-99.31994365,,,,,
58.45554909,-23.27193422,,,,,
58.45554909,33.76407286,,,,,
58.45554909,52.77607522,,,,,
58.45554909,71.78807758,,,,,
58.45554909,90.80007993,,,,,
77.46755145,-118.331946,,,,,
77.46755145,-99.31994365,,,,,
77.46755145,-80.30794129,,,,,
77.46755145,-61.29593893,,,,,
77.46755145,-42.28393657,,,,,
77.46755145,-23.27193422,,,,,
77.46755145,33.76407286,,,,,
77.46755145,52.77607522,,,,,
77.46755145,71.78807758,,,,,
77.46755145,90.80007993,,,,,
96.47955381,-118.331946,,,,,
96.47955381,-99.31994365,,,,,
96.47955381,-80.30794129,,,,,
96.47955381,-61.29593893,,,,,
96.47955381,-42.28393657,,,,,
96.47955381,-23.27193422,,,,,
96.47955381,-4.259931857,,,,,
96.47955381,14.7520705,,,,,
96.47955381,33.76407286,,,,,
96.47955381,52.77607522,,,,,
96.47955381,71.78807758,,,,,
96.47955381,90.80007993,,,,,
96.47955381,109.8120823,,,,,
96.47955381,128.8240847,,,,,
96.47955381,147.836087,,,,,
115.4915562,-118.331946,,,,,
115.4915562,-99.31994365,,,,,
115.4915562,-80.30794129,,,,,
115.4915562,-61.29593893,,,,,
115.4915562,-42.28393657,,,,,
115.4915562,-23.27193422,,,,,
115.4915562,-4.259931857,,,,,
115.4915562,14.7520705,,,,,
115.4915562,33.76407286,,,,,
115.4915562,52.77607522,,,,,
115.4915562,71.78807758,,,,,
115.4915562,90.80007993,,,,,
115.4915562,109.8120823,,,,,
115.4915562,128.8240847,,,,,
115.4915562,147.836087,,,,,
134.5035585,-118.331946,,,,,
134.5035585,-99.31994365,,,,,
134.5035585,-80.30794129,,,,,
134.5035585,-61.29593893,,,,,
134.5035585,-42.28393657,,,,,
134.5035585,-23.27193422,,,,,
134.5035585,-4.259931857,,,,,
134.5035585,14.7520705,,,,,
134.5035585,33.76407286,,,,,
134.5035585,52.77607522,,,,,
134.5035585,71.78807758,,,,,
134.5035585,90.80007993,,,,,
134.5035585,109.8120823,,,,,
134.5035585,128.8240847,,,,,
134.5035585,147.836087,,,,,
153.5155609,-118.331946,,,,,
153.5155609,-99.31994365,,,,,
153.5155609,-80.30794129,,,,,
153.5155609,-4.259931857,,,,,
153.5155609,14.7520705,,,,,
153.5155609,33.76407286,,,,,
153.5155609,52.77607522,,,,,
153.5155609,71.78807758,,,,,
153.5155609,90.80007993,,,,,
153.5155609,109.8120823,,,,,
153.5155609,128.8240847,,,,,
153.5155609,147.836087,,,,,
172.5275632,-118.331946,,,,,
172.5275632,-99.31994365,,,,,
172.5275632,-80.30794129,,,,,
172.5275632,-4.259931857,,,,,
172.5275632,14.7520705,,,,,
172.5275632,33.76407286,,,,,
172.5275632,52.77607522,,,,,
172.5275632,71.78807758,,,,,
172.5275632,90.80007993,,,,,
172.5275632,109.8120823,,,,,
172.5275632,128.8240847,,,,,
172.5275632,147.836087,,,,,
