Instance,Pred_class,class,Matches,x,y,Mix,Account_Balance,Duration_of_Credit,Payment_Status_of_Previous_Credit,Credit_Amount,Value_Savings,Length_emp,Installment,Duration_current_add,Age,class_new
1,0,0,Match,-0.595662739,-0.345822252,"R18,R26,R69,R80,R111,R144,R169,R191,R212,R234",2,6,1,1169,1,5,4,4,67,1
2,1,1,Match,-0.678070051,-0.268576942,"R13,R36,R50,R96,R128,R152,R162,R204,R223,R250",3,48,2,5951,2,3,2,2,22,2
3,0,0,Match,-0.085096209,0.584825475,"R2,R25,R65,R82,R104,R137,R175,R187,R217,R232",1,12,1,2096,2,4,2,3,49,1
4,0,0,Match,0.635978107,0.029886209,"R20,R36,R70,R100,R129,R152,R178,R205,R228,R256",2,42,2,7882,2,4,2,4,45,1
5,0,1,NonMatch,0.351354066,-0.512972667,"R18,R27,R60,R78,R124,R147,R178,R205,R228,R238",2,24,0,4870,2,3,3,4,53,2
6,0,0,Match,-0.702740108,0.008048006,"R4,R33,R51,R100,R126,R138,R175,R199,R210,R247",1,36,2,9055,1,3,2,4,35,1
7,0,0,Match,-0.06021314,0.599513527,"R2,R25,R65,R82,R107,R137,R175,R187,R217,R247",1,24,2,2835,4,5,3,4,53,1
8,1,0,NonMatch,0.61031456,0.009327447,"R20,R36,R51,R95,R129,R152,R177,R205,R228,R255",3,36,2,6948,2,3,2,2,35,1
9,0,0,Match,-0.117896827,0.632648438,"R2,R25,R68,R82,R107,R137,R175,R187,R217,R247",1,12,2,3059,5,4,2,4,61,1
10,0,1,NonMatch,0.40457225,-0.371019948,"R17,R27,R62,R78,R122,R147,R179,R205,R228,R241",3,30,1,5234,2,1,4,2,28,2
11,0,1,NonMatch,-0.069571321,-0.583394588,"R10,R27,R60,R78,R110,R147,R163,R191,R222,R250",3,12,2,1295,2,2,3,1,25,2
12,1,1,Match,-0.634669401,-0.267133636,"R14,R36,R61,R96,R113,R154,R162,R204,R223,R250",2,48,2,4308,2,2,3,4,24,2
13,0,0,Match,-0.139692028,-0.531033549,"R11,R27,R50,R78,R110,R147,R155,R191,R222,R250",3,12,2,1567,2,3,1,1,22,1
14,0,1,NonMatch,0.204620556,-0.175668228,"R18,R27,R70,R81,R113,R147,R181,R191,R228,R241",2,24,1,1199,2,5,4,4,60,2
15,0,0,Match,0.143746595,-0.420244169,"R20,R27,R51,R78,R110,R147,R177,R191,R228,R250",2,15,2,1403,2,3,2,4,28,1
16,0,1,NonMatch,0.210185278,-0.489418355,"R20,R27,R60,R78,R115,R149,R179,R191,R228,R250",2,24,2,1282,3,3,4,2,32,2
17,0,0,Match,0.025162232,0.549220959,"R2,R25,R65,R82,R105,R137,R181,R187,R210,R239",1,24,1,2424,1,5,4,4,53,1
18,0,0,Match,-0.773851802,-0.171871247,"R14,R43,R52,R86,R126,R148,R167,R197,R215,R255",2,30,4,8072,1,2,2,3,25,1
19,0,1,NonMatch,0.349152164,-0.044632808,"R20,R27,R70,R82,R129,R147,R181,R205,R228,R256",3,24,2,12579,2,5,4,2,44,2
20,0,0,Match,-0.146830379,0.583279457,"R2,R25,R65,R82,R107,R135,R175,R187,R217,R244",1,24,2,3430,4,5,3,2,31,1
21,0,0,Match,-0.405895441,0.516028353,"R2,R22,R57,R76,R105,R137,R168,R187,R217,R232",1,9,1,2134,2,3,4,4,48,1
22,0,0,Match,-0.597226284,-0.365688376,"R21,R28,R51,R79,R115,R141,R168,R191,R226,R249",2,6,2,2647,4,3,2,3,44,1
23,0,0,Match,-0.349309323,-0.399603312,"R16,R26,R51,R78,R110,R141,R168,R191,R228,R232",2,10,1,2241,2,2,1,3,48,1
24,0,0,Match,0.288342449,-0.548923051,"R18,R27,R60,R78,R115,R149,R177,R191,R228,R232",3,12,1,1804,3,2,3,4,44,1
25,0,0,Match,-0.557194702,0.329785075,"R2,R22,R51,R76,R104,R135,R168,R187,R209,R230",1,10,1,2069,1,3,2,1,26,1
26,0,0,Match,-0.464455105,-0.474743366,"R19,R26,R51,R78,R110,R141,R168,R191,R226,R249",2,6,2,1374,2,3,1,2,36,1
27,0,0,Match,0.187935799,0.744141891,"R6,R41,R66,R84,R105,R137,R169,R186,R217,R246",1,6,4,426,2,5,4,4,39,1
