Instance,x,y,class,Pred_class,Matches,Pie,Mixnew,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,class_new,Stress
1,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.1,3.5,1.4,0.2,1,0.043053601
2,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.9,3,1.4,0.2,1,0.043053601
3,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.7,3.2,1.3,0.2,1,0.043053601
4,0.548511346,-0.113857424,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.6,3.1,1.5,0.2,1,0.043053601
5,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5,3.6,1.4,0.2,1,0.043053601
6,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.4,3.9,1.7,0.4,1,0.043053601
7,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.6,3.4,1.4,0.3,1,0.043053601
8,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5,3.4,1.5,0.2,1,0.043053601
9,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.4,2.9,1.4,0.2,1,0.043053601
10,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.9,3.1,1.5,0.1,1,0.043053601
11,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.4,3.7,1.5,0.2,1,0.043053601
12,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.8,3.4,1.6,0.2,1,0.043053601
13,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.8,3,1.4,0.1,1,0.043053601
14,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.3,3,1.1,0.1,1,0.043053601
15,0.614061859,0.08978561,Iris-setosa,Iris-setosa,Match,"100.0,0.0,0.0","R1,R5,R11",5.8,4,1.2,0.2,1,0.163955242
16,0.550248809,-0.313307749,Iris-setosa,Iris-setosa,Match,"100.0,0.0,0.0","R1,R5,R11",5.7,4.4,1.5,0.4,1,0.177012902
17,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.4,3.9,1.3,0.4,1,0.043053601
18,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.1,3.5,1.4,0.3,1,0.043053601
19,0.614061591,0.089785847,Iris-setosa,Iris-setosa,Match,"100.0,0.0,0.0","R1,R5,R11",5.7,3.8,1.7,0.3,1,0.163955243
20,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.1,3.8,1.5,0.3,1,0.043053601
21,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.4,3.4,1.7,0.2,1,0.043053601
22,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.1,3.7,1.5,0.4,1,0.043053601
23,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.6,3.6,1,0.2,1,0.043053601
24,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.1,3.3,1.7,0.5,1,0.043053601
25,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.8,3.4,1.9,0.2,1,0.043053601
26,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5,3,1.6,0.2,1,0.043053601
27,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5,3.4,1.6,0.4,1,0.043053601
28,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.2,3.5,1.5,0.2,1,0.043053601
29,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.2,3.4,1.4,0.2,1,0.043053601
30,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.7,3.2,1.6,0.2,1,0.043053601
31,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.8,3.1,1.6,0.2,1,0.043053601
32,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.4,3.4,1.5,0.4,1,0.043053601
33,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.2,4.1,1.5,0.1,1,0.043053601
34,0.550259608,-0.313302484,Iris-setosa,Iris-setosa,Match,"100.0,0.0,0.0","R1,R5,R11",5.5,4.2,1.4,0.2,1,0.177012913
35,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.9,3.1,1.5,0.1,1,0.043053601
36,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5,3.2,1.2,0.2,1,0.043053601
37,0.550250639,-0.313306857,Iris-setosa,Iris-setosa,Match,"100.0,0.0,0.0","R1,R5,R11",5.5,3.5,1.3,0.2,1,0.177012904
38,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.9,3.1,1.5,0.1,1,0.043053601
39,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.4,3,1.3,0.2,1,0.043053601
40,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.1,3.4,1.5,0.2,1,0.043053601
41,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5,3.5,1.3,0.3,1,0.043053601
42,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.5,2.3,1.3,0.3,1,0.043053601
43,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.4,3.2,1.3,0.2,1,0.043053601
44,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5,3.5,1.6,0.6,1,0.043053601
45,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.1,3.8,1.9,0.4,1,0.043053601
46,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.8,3,1.4,0.3,1,0.043053601
47,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.1,3.8,1.6,0.2,1,0.043053601
48,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",4.6,3.2,1.4,0.2,1,0.043053601
49,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5.3,3.7,1.5,0.2,1,0.043053601
50,0.548511346,-0.113857425,Iris-setosa,Iris-setosa,Match,"97.05882352941177,2.9411764705882355,0.0","R1,R5,R9",5,3.3,1.4,0.2,1,0.043053601
51,-0.364167302,-0.5057825,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",7,3.2,4.7,1.4,2,0.134117157
52,-0.364175757,-0.505779478,Iris-versicolor,Iris-versicolor,Match,"0.0,91.50326797385621,8.496732026143789","R3,R6,R10",6.4,3.2,4.5,1.5,2,0.134117195
53,-0.212380841,-0.666794561,Iris-versicolor,Iris-versicolor,Match,"0.0,71.50326797385621,28.49673202614379","R3,R7,R10",6.9,3.1,4.9,1.5,2,0.245275906
