Instance,class,Pred_class,Matches,gre,gpa,rank,x,y,Mix,class_new
1,0,0,Match,380,3.61,3,-0.083771698,0.736566721,"R18,R29,R54,R92,R118,R125,R155,R181,R194,R224",1
2,1,0,NonMatch,660,3.67,3,0.473570934,-0.392872634,"R24,R49,R66,R93,R120,R140,R158,R182,R207,R225",2
3,1,1,Match,800,4,1,0.002263495,-0.706600206,"R21,R38,R64,R77,R119,R138,R150,R180,R203,R232",2
4,1,0,NonMatch,640,3.19,4,0.590236559,0.425543713,"R9,R46,R70,R89,R112,R131,R163,R173,R208,R222",2
5,0,0,Match,520,2.93,4,0.388751232,0.508482842,"R5,R45,R57,R89,R101,R126,R163,R173,R198,R215",1
6,1,1,Match,760,3,2,0.22373447,-0.693837459,"R10,R41,R65,R82,R104,R129,R144,R170,R205,R217",2
7,1,1,Match,560,2.98,1,-0.200533238,0.560919408,"R5,R35,R55,R74,R100,R128,R142,R168,R191,R216",2
8,0,0,Match,400,3.08,2,-0.467253716,0.551385006,"R4,R31,R54,R83,R99,R123,R144,R169,R189,R210",1
9,1,0,NonMatch,540,3.39,3,0.281786321,0.273173596,"R5,R43,R56,R86,R120,R131,R156,R175,R198,R215",2
10,0,1,NonMatch,700,3.92,2,-0.219066259,-0.484941935,"R25,R40,R63,R84,R119,R138,R152,R182,R206,R232",1
11,0,0,Match,800,4,4,0.705254483,-0.286741879,"R25,R50,R72,R97,R120,R140,R165,R187,R208,R233",1
12,0,0,Match,440,3.22,1,-0.314930253,0.700303022,"R4,R30,R54,R73,R109,R121,R145,R167,R188,R213",1
13,1,1,Match,760,4,1,0.002263495,-0.706600206,"R21,R38,R64,R77,R119,R138,R150,R180,R203,R232",2
14,0,0,Match,700,3.08,2,-0.715149517,0.070728372,"R8,R40,R63,R83,R103,R144,R169,R205,R221",1
15,1,1,Match,700,4,1,-0.054889859,-0.63559452,"R20,R36,R63,R77,R119,R138,R150,R180,R203,R232",2
16,0,0,Match,480,3.44,3,0.190466085,0.094657888,"R16,R31,R56,R86,R120,R133,R156,R177,R195,R225",1
17,0,0,Match,780,3.87,4,0.705254484,-0.286741879,"R25,R50,R72,R97,R120,R140,R165,R187,R208,R233",1
18,0,0,Match,360,2.56,3,-0.063312068,0.771264266,"R2,R29,R54,R85,R99,R125,R153,R171,R194,R209",1
19,0,1,NonMatch,800,3.75,2,-0.19076447,-0.506560423,"R25,R42,R65,R84,R119,R138,R152,R182,R206,R230",1
20,1,1,Match,540,3.81,1,0.078521306,-0.693465392,"R15,R35,R58,R75,R119,R136,R150,R180,R193,R229",2
21,0,0,Match,500,3.17,3,0.2212088,0.382068393,"R5,R43,R56,R86,R109,R131,R156,R173,R198,R215",1
22,1,1,Match,660,3.63,2,-0.320903831,-0.404104516,"R24,R39,R63,R84,R119,R138,R152,R182,R206,R225",2
23,0,0,Match,600,2.82,4,0.464851526,0.616829872,"R9,R46,R70,R88,R101,R126,R162,R173,R204,R219",1
24,0,0,Match,680,3.19,4,0.64026423,0.370114116,"R9,R50,R72,R91,R112,R131,R163,R173,R208,R222",1
