x,y,Rule,class,coverage,Pie,NoAdmit,Admit
27.19506073,-12.55765247,1,0,0.011428571,"100,0",100,0
5.039001465,16.38890457,2,1,0.00952381,"0,100",0,100
-5.76586628,35.30829239,3,1,0.019047619,"23.0769230769231,76.9230769230769",23.07692308,76.92307692
26.26636696,34.90579224,4,0,0.165714286,"81.3084112149534,18.6915887850467",81.30841121,18.69158879
-7.119342804,-19.79149818,5,0,0.262857143,"90.1960784313726,9.80392156862745",90.19607843,9.803921569
8.593628883,-3.950377226,6,0,0.022857143,"54.5454545454546,45.4545454545454",54.54545455,45.45454545
-2.280018091,9.106960297,7,0,0.022857143,"100,0",100,0
-15.70777416,-3.540106297,8,1,0.152380952,"23.0769230769231,76.9230769230769",23.07692308,76.92307692
-4.941841602,15.81634712,9,0,0.017142857,"64.2857142857143,35.7142857142857",64.28571429,35.71428571
-24.08533669,-25.85987091,10,1,0.047619048,"0,100",0,100
-4.473775387,6.551527977,11,0,0.005714286,"100,0",100,0
-0.277927667,-1.559444547,12,1,0.019047619,"0,100",0,100
-4.608059883,1.444964886,13,0,0.057142857,"100,0",100,0
-1.644019723,-4.449080944,14,1,0.019047619,"47.3684210526316,52.6315789473684",47.36842105,52.63157895
10.70248699,4.588136673,15,1,0.066666667,"0,100",0,100
13.59056473,9.919285774,16,1,0.076190476,"0,100",0,100
-22.58110237,17.05026627,17,1,0.047619048,"45.6521739130437,54.3478260869568",45.65217391,54.34782609
-19.14049149,13.20972633,18,1,0.057142857,"9.0909090909091,90.9090909090909",9.090909091,90.90909091
0.150521323,-42.82108307,19,1,0.047619048,"10.7142857142857,89.2857142857143",10.71428571,89.28571429
-10.98641682,-42.66671753,20,0,0.022857143,"70.5882352941177,29.4117647058823",70.58823529,29.41176471
9.831607819,-41.08937073,21,1,0.047619048,"0,100",0,100
4.4013381,3.171883821,22,1,0.076190476,"13.0434782608696,86.9565217391304",13.04347826,86.95652174
7.357073307,-11.0182209,23,0,0.011428571,"100,0",100,0
-26.5343132,6.168667793,24,0,0.154285714,"69.8275862068966,30.1724137931035",69.82758621,30.17241379
-35.0797081,6.940986633,25,1,0.142857143,"44.4444444444444,55.5555555555553",44.44444444,55.55555556
12.17785454,33.63334274,26,0,0.016304348,"100,0",100,0
6.321060658,30.23807144,27,1,0.020833333,"0,100",0,100
28.54990768,10.12134171,28,0,0.005434783,"100,0",100,0
31.1368618,33.99209976,29,0,0.076086957,"100,0",100,0
42.44039154,1.573521376,30,0,0.027173913,"100,0",100,0
19.57439804,27.48620033,31,0,0.10326087,"76.7676767676767,23.2323232323233",76.76767677,23.23232323
3.855287552,19.7894516,32,0,0.027173913,"100,0",100,0
20.9491806,5.379394054,33,1,0.020833333,"0,100",0,100
19.14872742,-0.5755108,34,0,0.010869565,"51.0638297872341,48.9361702127659",51.06382979,48.93617021
-2.873411894,-47.03193665,35,1,0.072916667,"37.354085603113,62.6459143968872",37.3540856,62.6459144
3.511902571,-37.53857422,36,0,0.038043478,"100,0",100,0
29.27454758,-19.56548309,37,1,0.020833333,"0,100",0,100
9.931101799,-42.26656723,38,1,0.020833333,"20.6896551724138,79.3103448275862",20.68965517,79.31034483
-33.41026306,-3.726704121,39,1,0.34375,"36.9077306733166,63.0922693266834",36.90773067,63.09226933
-16.00555801,-12.93756771,40,0,0.048913043,"82.4427480916031,17.5572519083969",82.44274809,17.55725191
-24.46241951,-22.50099182,41,1,0.09375,"0,100",0,100
-28.19732857,-24.35538864,42,1,0.03125,"34.2857142857142,65.7142857142858",34.28571429,65.71428571
-5.097706795,-17.76773071,43,0,0.070652174,"77.2277227722775,22.7722772277228",77.22772277,22.77227723
-10.2890358,-7.409044743,44,0,0.086956522,"51.0638297872338,48.9361702127657",51.06382979,48.93617021
14.43068314,-13.56904602,45,0,0.032608696,"75.7894736842104,24.2105263157894",75.78947368,24.21052632
8.276317596,-15.63096714,46,0,0.054347826,"100,0",100,0
-8.404089928,19.89492416,47,1,0.052083333,"0,100",0,100
-8.236183167,25.31354332,48,0,0.005434783,"100,0",100,0
-38.76686096,12.23448467,49,0,0.108695652,"51.0638297872341,48.9361702127659",51.06382979,48.93617021
16.38749123,-25.64528465,50,1,0.052083333,"29.4478527607362,70.5521472392639",29.44785276,70.55214724
12.91409683,32.99792099,51,1,0.012048193,"45.7300275482092,54.2699724517904",45.73002755,54.26997245
6.731249332,29.54708481,52,1,0.024096386,"0,100",0,100
28.07756805,10.87920856,53,0,0.005076142,"100,0",100,0
25.52300835,35.63320541,54,0,0.162436548,"100,0",100,0
37.41366196,-0.269848347,55,0,0.040609137,"52.9083665338649,47.0916334661358",52.90836653,47.09163347
-8.280434608,-18.69845772,56,0,0.208121827,"65.7457496136011,34.2542503863986",65.74574961,34.25425039
13.22376823,-14.99104881,57,0,0.076142132,"100,0",100,0
11.12316036,3.70907402,58,1,0.024096386,"0,100",0,100
-21.51731682,14.05469418,59,1,0.072289157,"17.4004192872117,82.599580712788",17.40041929,82.59958071
-16.58548927,10.89603329,60,0,0.035532995,"100,0",100,0
-30.76905632,-18.08344078,61,0,0.025380711,"100,0",100,0
-19.96771431,-16.77280426,62,1,0.096385542,"9.52927669345581,90.4707233065443",9.529276693,90.47072331
-32.84605026,-1.325845122,63,1,0.313253012,"34.1475957829776,65.8524042170223",34.14759578,65.85240422
8.676346779,-41.79932404,64,1,0.072289157,"6.56126482213438,93.4387351778652",6.561264822,93.43873518
-27.32433128,-24.17313004,65,1,0.108433735,"21.9286657859973,78.0713342140023",21.92866579,78.07133421
-9.170043945,-8.155103683,66,0,0.086294416,"87.7487562189055,12.2512437810945",87.74875622,12.25124378
-12.8932991,8.098882675,67,1,0.024096386,"0,100",0,100
-9.470532417,19.04697418,68,1,0.036144578,"0,100",0,100
-39.73545074,12.79870796,69,0,0.07106599,"59.5897435897437,40.4102564102564",59.58974359,40.41025641
7.490544796,-14.63653755,70,0,0.035532995,"100,0",100,0
-7.482572079,23.79703712,71,1,0.012048193,"0,100",0,100
17.21960449,-24.85494232,72,0,0.020304569,"100,0",100,0
40.14691162,0.447644204,73,0,0.037234043,"100,0",100,0
7.230987549,-28.92253304,74,1,0.043478261,"0,100",0,100
