x,y,class_pred,class_orig,Matches,Instance,Mixnew,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
-0.522099027,0.104110513,5,5,Match,1,"R15,R39,R69,R90,R127,R166,R183,R218,R239,R284",7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4
-0.490659475,-0.171490573,5,5,Match,2,"R17,R39,R71,R92,R127,R166,R185,R219,R247,R284",7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8
-0.519487924,-0.198406602,5,5,Match,3,"R17,R39,R69,R92,R127,R166,R185,R219,R247,R284",7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8
-0.012603513,-0.70756305,6,6,Match,4,"R15,R34,R65,R91,R122,R161,R195,R213,R240,R269",11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8
-0.522099027,0.104110513,5,5,Match,5,"R15,R39,R69,R90,R127,R166,R183,R218,R239,R284",7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4
-0.522099027,0.104110513,5,5,Match,6,"R15,R39,R69,R90,R127,R166,R183,R218,R239,R284",7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4
-0.51888665,0.337296321,5,5,Match,7,"R3,R38,R67,R90,R126,R165,R183,R218,R239,R281",7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4
-0.279449453,0.456692662,5,7,Non,8,"R3,R39,R67,R92,R126,R165,R184,R220,R241,R284",7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10
-0.488173014,0.009219384,5,7,Non,9,"R9,R38,R69,R90,R127,R166,R183,R218,R239,R282",7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5
0.544606153,-0.357316342,5,5,Match,10,"R24,R59,R85,R109,R141,R175,R207,R234,R263,R291",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5
-0.48338175,0.338671719,5,5,Match,11,"R9,R38,R67,R90,R126,R165,R183,R218,R239,R281",6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2
0.544598822,-0.357317952,5,5,Match,12,"R24,R59,R85,R109,R141,R175,R207,R234,R263,R291",7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5
-0.301969681,0.323996549,5,5,Match,13,"R10,R38,R67,R92,R126,R165,R184,R220,R242,R281",5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9
-0.513203464,-0.359723491,5,5,Match,14,"R17,R38,R69,R89,R127,R166,R185,R219,R247,R282",7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1
-0.747604125,0.07530432,5,5,Match,15,"R17,R44,R72,R102,R133,R171,R186,R219,R249,R291",8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2
-0.747604125,0.07530432,5,5,Match,16,"R17,R44,R72,R102,R133,R171,R186,R219,R249,R291",8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2
0.432736636,-0.644357609,6,7,Non,17,"R22,R58,R76,R114,R137,R163,R207,R234,R264,R278",8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5
-0.51156557,-0.307025738,5,5,Match,18,"R17,R38,R69,R90,R127,R166,R185,R219,R247,R282",8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3
-0.689616809,0.253995929,5,4,Non,19,"R15,R38,R67,R89,R130,R164,R180,R216,R238,R281",7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9
-0.098782715,-0.747308532,6,6,Match,20,"R17,R34,R64,R90,R123,R163,R195,R214,R246,R278",7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2
-0.08048496,-0.687425373,6,6,Match,21,"R11,R33,R64,R90,R122,R160,R195,R213,R239,R266",8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4
-0.380969477,-0.555255086,5,5,Match,22,"R18,R38,R74,R95,R127,R161,R207,R219,R247,R279",7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7
-0.51156557,-0.307025738,5,5,Match,23,"R17,R38,R69,R90,R127,R166,R185,R219,R247,R282",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5
-0.48338175,0.338671719,5,5,Match,24,"R9,R38,R67,R90,R126,R165,R183,R218,R239,R281",8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4
-0.414709407,-0.420416284,5,6,Non,25,"R18,R38,R69,R91,R127,R156,R185,R219,R247,R266",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7
-0.487260936,0.110424161,5,5,Match,26,"R9,R38,R69,R90,R127,R156,R183,R218,R239,R265",6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3
-0.543140563,-0.291627615,5,5,Match,27,"R17,R38,R69,R90,R127,R166,R185,R219,R243,R282",7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5
-0.51156557,-0.307025738,5,5,Match,28,"R17,R38,R69,R90,R127,R166,R185,R219,R247,R282",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5
-0.489664326,0.415828616,5,5,Match,29,"R15,R39,R67,R90,R126,R165,R183,R218,R239,R284",7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4
-0.468921184,-0.30502759,5,6,Non,30,"R18,R38,R69,R92,R127,R166,R185,R219,R243,R282",7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8
-0.285796856,0.436662761,5,5,Match,31,"R9,R39,R67,R92,R126,R165,R184,R220,R241,R284",6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1
0.380465546,0.367916991,6,6,Match,32,"R9,R55,R85,R107,R140,R174,R192,R228,R254,R287",6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6
-0.714869677,-0.044985454,5,5,Match,33,"R17,R44,R69,R102,R129,R171,R185,R219,R249,R291",8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8
-0.541491191,0.518936534,5,6,Non,34,"R15,R40,R74,R94,R133,R165,R183,R218,R239,R281",6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4
-0.429096239,0.6248524,5,5,Match,35,"R9,R34,R64,R90,R123,R160,R183,R209,R239,R265",5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2
-0.536047,0.308028068,5,6,Non,36,"R15,R38,R67,R95,R130,R165,R184,R218,R239,R281",7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6
0.168176623,0.153321108,6,6,Match,37,"R28,R50,R83,R107,R139,R172,R190,R225,R251,R287",7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8
-0.375719914,-0.479928341,5,7,Non,38,"R17,R38,R69,R91,R127,R156,R185,R219,R246,R276",8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7
-0.310161692,0.437832149,5,4,Non,39,"R9,R39,R68,R92,R126,R165,R184,R218,R241,R284",5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8
0.393051754,-0.140116714,6,5,Non,40,"R24,R50,R85,R109,R139,R173,R207,R233,R260,R287",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5
0.393051754,-0.140116714,6,5,Non,41,"R24,R50,R85,R109,R139,R173,R207,R233,R260,R287",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5
-0.522095941,0.31590082,5,4,Non,42,"R15,R38,R67,R90,R126,R165,R196,R218,R239,R281",8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3
0.357306203,-0.06481787,6,6,Match,43,"R22,R50,R85,R104,R139,R173,R190,R232,R260,R287",7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5
0.39979112,-0.025634015,6,5,Non,44,"R21,R50,R85,R117,R139,R173,R192,R232,R260,R287",8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3
-0.490922772,0.426219732,5,5,Match,45,"R3,R39,R67,R90,R126,R165,R183,R218,R239,R284",6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5
0.514588621,0.534172209,6,4,Non,46,"R8,R52,R85,R108,R148,R179,R193,R230,R254,R288",4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1
-0.732059945,0.001798133,5,5,Match,47,"R17,R44,R69,R102,R129,R171,R208,R219,R249,R291",7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2
-0.13576111,0.601024452,5,5,Match,48,"R15,R34,R64,R90,R123,R156,R195,R215,R239,R269",8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5
-0.521724356,0.092499717,5,5,Match,49,"R3,R38,R69,R90,R127,R156,R183,R218,R239,R265",6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2
0.036852478,-0.546986038,5,5,Match,50,"R9,R37,R64,R97,R122,R160,R202,R209,R239,R265",5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2
-0.579861648,-0.169823143,5,5,Match,51,"R17,R39,R69,R90,R127,R166,R185,R219,R243,R284",8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2
-0.52691505,-0.299491145,5,6,Non,52,"R18,R38,R69,R90,R127,R166,R185,R219,R243,R282",6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4
-0.52691505,-0.299491145,5,6,Non,53,"R18,R38,R69,R90,R127,R166,R185,R219,R243,R282",6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4
-0.326517185,0.66140298,5,5,Match,54,"R15,R44,R72,R102,R129,R161,R206,R218,R239,R269",8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4
-0.150072116,-0.497382861,6,6,Match,55,"R22,R41,R71,R91,R127,R167,R192,R223,R247,R282",7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2
-0.571281063,0.293754517,5,5,Match,56,"R15,R38,R71,R90,R130,R165,R183,R218,R239,R281",7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5
-0.544431361,-0.466383818,5,5,Match,57,"R20,R38,R69,R91,R130,R166,R196,R219,R243,R282",10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6
-0.747604125,0.07530432,5,5,Match,58,"R17,R44,R72,R102,R133,R171,R186,R219,R249,R291",7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4
-0.258897182,-0.366441846,5,5,Match,59,"R21,R38,R70,R92,R127,R167,R185,R223,R247,R282",7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10
-0.490999794,0.260455767,5,6,Non,60,"R9,R38,R67,R90,R126,R156,R196,R218,R239,R266",7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4
-0.593803725,-0.350210315,5,5,Match,61,"R18,R38,R69,R90,R127,R161,R196,R219,R247,R279",8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2
-0.732059945,0.001798133,5,5,Match,62,"R17,R44,R69,R102,R129,R171,R208,R219,R249,R291",7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3
-0.50016238,-0.319796216,5,7,Non,63,"R18,R38,R69,R90,R127,R166,R185,R219,R247,R282",7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5
-0.400407035,0.078360413,5,5,Match,64,"R9,R39,R69,R92,R127,R166,R184,R218,R241,R284",7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8
0.049288148,0.193271308,5,5,Match,65,"R9,R50,R82,R104,R139,R172,R190,R225,R251,R286",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9
0.049256826,0.193621668,5,5,Match,66,"R9,R50,R82,R104,R139,R172,R190,R225,R251,R286",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9
-0.457262789,-0.175139564,5,5,Match,67,"R9,R38,R69,R91,R127,R166,R185,R219,R239,R282",7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6
0.21122864,0.22202081,5,5,Match,68,"R9,R50,R85,R107,R139,R172,R190,R225,R250,R287",6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7
0.464568355,-0.618741804,6,5,Non,69,"R30,R58,R76,R113,R137,R163,R207,R234,R263,R278",9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7
0.372634163,-0.007002926,6,6,Match,70,"R21,R50,R85,R109,R139,R173,R192,R232,R260,R287",8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5
-0.48338175,0.338671719,5,6,Non,71,"R9,R38,R67,R90,R126,R165,R183,R218,R239,R281",7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5
-0.43612681,0.524038856,5,5,Match,72,"R9,R39,R67,R97,R129,R165,R183,R218,R239,R291",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5
-0.447164575,0.493291241,5,5,Match,73,"R9,R39,R67,R97,R126,R165,R183,R218,R239,R291",7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5
-0.489664326,0.415828616,5,4,Non,74,"R15,R39,R67,R90,R126,R165,R183,R218,R239,R284",8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2
-0.050976156,0.741381199,5,5,Match,75,"R17,R37,R64,R96,R123,R163,R207,R215,R246,R279",9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6
