x,y,Rule,class,coverage,Pie,Class0,Class1,Class2,Class3,Class4,Class5
0.268268436,-26.20293427,1,Class_seven,0.021582734,"0,0,0,0,100,0",0,0,0,0,100,0
-3.606948137,-32.75576019,2,Class_four,0.081081081,"0,50,16.6666666666667,33.3333333333333,0,0",0,50,16.66666667,33.33333333,0,0
11.39546776,-4.470355988,3,Class_five,0.05870021,"0,6.12244897959184,57.1428571428571,36.734693877551,0,0",0,6.12244898,57.14285714,36.73469388,0,0
-3.966335297,-7.815355301,4,Class_four,0.081081081,"0,100,0,0,0,0",0,100,0,0,0,0
5.250311375,-23.09171104,5,Class_six,0.00896861,"0,20,0,40,40,0",0,20,0,40,40,0
-18.70499992,-29.59308434,6,Class_six,0.033632287,"0,0,5.26315789473684,78.9473684210526,15.7894736842105,0",0,0,5.263157895,78.94736842,15.78947368,0
2.998846531,-21.57451439,7,Class_five,0.004192872,"0,0,100,0,0,0",0,0,100,0,0,0
4.516042233,-13.03255844,8,Class_five,0.002096436,"0,0,50,0,50,0",0,0,50,0,50,0
23.55109024,43.42720032,9,Class_five,0.232704403,"0.574712643678161,4.02298850574713,63.7931034482759,28.735632183908,2.8735632183908,0",0.574712644,4.022988506,63.79310345,28.73563218,2.873563218,0
6.99368,-18.93074799,10,Class_six,0.015695067,"10,10,10,70,0,0",10,10,10,70,0,0
-2.410168409,-13.93104553,11,Class_six,0.020179372,"0,0,0,100,0,0",0,0,0,100,0,0
-11.06484318,-21.58559227,12,Class_six,0.002242152,"0,0,0,50,50,0",0,0,0,50,50,0
16.60788918,-3.123080969,13,Class_six,0.006726457,"0,0,0,100,0,0",0,0,0,100,0,0
7.688548088,-1.700897813,14,Class_four,0.027027027,"0,50,50,0,0,0",0,50,50,0,0,0
18.663517,50.00270081,15,Class_five,0.238993711,"1.41843971631206,4.9645390070922,80.8510638297872,12.7659574468085,0,0",1.418439716,4.964539007,80.85106383,12.76595745,0,0
1.338174939,1.517470241,16,Class_six,0.004484305,"0,0,0,100,0,0",0,0,0,100,0,0
46.15123749,19.07574844,17,Class_five,0.136268344,"0,3.44827586206897,74.7126436781609,19.5402298850575,2.29885057471264,0",0,3.448275862,74.71264368,19.54022989,2.298850575,0
49.68629074,18.63703156,18,Class_five,0.1278826,"0,2.75229357798165,55.9633027522936,41.2844036697248,0,0",0,2.752293578,55.96330275,41.28440367,0,0
-24.42862892,26.73763847,19,Class_seven,0.014388489,"0,0,0,0,100,0",0,0,0,0,100,0
